,label,en_tweet,hebrew_tweet,bt_tweet
10,anger,"That's right Min Indonesian people now hope to live with TNI, if the others look at it, it's obvious the attack on the media office, said there's no criminal element, is obviously insulting the legitimate Indonesian president, just funny, #TNI [URL]","זה נכון, אנשים אינדונזיים מין עכשיו מקווים לחיות עם TNI, אם האחרים מסתכלים על זה, זה ברור ההתקפה על משרד התקשורת, אמר שאין אלמנט פלילי, הוא כמובן מעליב נשיא אינדונזיה לגיטימי, פשוט מצחיק, #TNI [URL]","Itu benar Min Indonesia orang sekarang berharap untuk hidup dengan TNI, jika yang lain melihatnya, itu jelas serangan terhadap kantor media, mengatakan tidak ada elemen kriminal, jelas menghina presiden Indonesia yang sah, hanya lucu, #TNI [URL]"
11,anger,"Even if the fans sell their shots, the money runs into the idol too.","אפילו אם המעריצים ימכרו את הזריקות שלהם, גם הכסף יגיע לאליל.","Bahkan jika penggemar menjual gambar mereka, uang berjalan ke berhala juga."
12,happy,"So thankful to be able to pray for his grandfather, Karno Man, along with the orphans. #Moon Carno #JuniNungKarnoQarno #Connecter Indonesia's People #number2 for the team #jatumselectablepulputi #KabehSedterKabehMakmur [USNAME]","אז אסיר תודה על היכולת להתפלל עבור סבו, קרנו מן, יחד עם היתומים. #מון קארנו # JuniNung Karnoqarno #Connecter Indoneso's People #2 for the team #Jatumeselectablepulputi #KabehSedter KabehMakmur [USAME]","Jadi bersyukur bisa berdoa untuk kakeknya, Karno Man, bersama dengan anak yatim piatu. #Moon Carno #JuniNarnoQarno #Connecter Indonesia's People #nomor2 untuk tim #jatums supelpulputi #KabehSedterKaakmur [NAMA AS]"
13,sadness,"It's hard to accept the fact that there are some who think that when we interact with one particular group, we immediately say a certain class for a moment without we study it whole and claim ourselves to be the right ones.","קשה לקבל את העובדה שיש כאלה שחושבים שכשאנחנו מתקשרים עם קבוצה אחת מסוימת, אנחנו מייד אומרים כיתה מסוימת לרגע בלי שנלמד אותה במלואה ונטען שאנחנו הנכונים.","Sulit untuk menerima kenyataan bahwa ada beberapa orang yang berpikir bahwa ketika kita berinteraksi dengan satu kelompok tertentu, kita langsung mengatakan kelas tertentu untuk sesaat tanpa kita mempelajarinya utuh dan mengklaim diri kita menjadi orang yang tepat."
14,anger,No one steals. No one fucks the dog. No monkey demon.,"אף אחד לא גונב, אף אחד לא מזיין את הכלב, לא קוף שד.","Tidak ada yang mencuri, tidak ada yang meniduri anjing, tidak ada siluman monyet."
15,anger,I also want to read the most authentic netizens' comments.,אני גם רוצה לקרוא את התגובות האותנטיות ביותר של הרשתנים.,Saya juga ingin membaca komentar netizen yang paling otentik.
16,love,"Every chance you've ever been to can make you feel safe and comfortable, now it's the honor you've ever had.","כל הזדמנות שאי פעם היית כדי יכול לגרום לך להרגיש בטוח ונוח, עכשיו זה הכבוד שאי פעם היה לך.","Setiap kesempatan yang pernah Anda untuk dapat membuat Anda merasa aman dan nyaman, sekarang itu adalah kehormatan yang pernah Anda miliki."
17,anger,"It's good that you're not sleeping in my bed, I'm sleeping you're sleeping with what you're going to be.","זה טוב שאתה לא ישן במיטה שלי, אני ישן אתה ישן עם מה שאתה הולך להיות.","Ada baiknya bahwa Anda tidak tidur di tempat tidur saya, saya tidur Anda tidur dengan apa yang Anda akan menjadi."
18,happy,H-9. Gonna go to the Rame Bank where the seat line is outside the gold shop doesn't seem to sell.,H-9 הולך לבנק Rame שבו קו המושב הוא מחוץ לחנות הזהב לא נראה למכור.,H-9. aku akan pergi ke Rame Bank di mana kursi di luar toko emas tampaknya tidak menjual.
19,anger,"This country is completely destroyed by amateurs, but [USERNAME] not heeding its own statement?","המדינה הזאת נהרסת לחלוטין על ידי חובבנים, אבל [ארה""ב] לא מקשיב להצהרה שלה?","Negara ini benar-benar hancur oleh amatir, tapi [NAMA BERKAS] tidak mengindahkan pernyataannya sendiri?"
20,anger,It's been explained many times as long as it's not arranged.,זה הוסבר פעמים רבות כל עוד זה לא מסודר.,Hal ini telah dijelaskan berkali-kali selama itu tidak diatur.
21,sadness,"Half the heart is jealous to see a child still sitting or walking with his mother, and half the heart helps to see a child so troubled when his mother is sick.","חצי מהלב מקנא לראות ילד עדיין יושב או הולך עם אמו, וחצי מהלב עוזר לראות ילד כל כך מוטרד כשאמו חולה.","Setengah hati cemburu melihat seorang anak masih duduk atau berjalan dengan ibunya, dan setengah hati membantu melihat seorang anak begitu bermasalah ketika ibunya sakit."
22,happy,"When I smile, it doesn't mean that my life is perfect. I'm just grateful for what I have and what God has given me.","כשאני מחייכת, זה לא אומר שהחיים שלי מושלמים, אני פשוט אסירת תודה על מה שיש לי ועל מה שאלוהים נתן לי.","Ketika aku tersenyum, itu tidak berarti bahwa hidupku sempurna. aku hanya bersyukur atas apa yang aku miliki dan apa yang Tuhan berikan padaku."
23,sadness,"from going to bed, to sleep, to not be sad, like it's strange.. not to think about it. This is why I'm trying:","מללכת למיטה, לישון, לא להיות עצוב, כאילו שזה מוזר... לא לחשוב על זה.","dari tidur, untuk tidur, untuk tidak sedih, seperti itu aneh .. tidak berpikir tentang hal itu."
24,love,I will hold you tight until no one can snatch you from my arms Happy Anniversary Sig #6nov #31months,אני אחזיק אותך חזק עד שאף אחד לא יכול לחטוף אותך מהזרועות שלי יום שנה שמח סיג מספר 6 נוב 31 חודשים,Aku akan memegang erat-erat sampai tidak ada yang bisa merebut Anda dari lengan saya Happy Anniversary Sig #6nov #31 bulan
25,anger,"If you're going to change president, you need to be clear who the candidate is.","אם אתה הולך לשנות את הנשיא, אתה צריך להיות ברור מי המועמד.","Jika kau ingin mengganti presiden, kau harus menjelaskan siapa kandidatnya."
26,happy,"It's so cool with no.1 quality,bhn krja,it's my goal to get the inheritance to cu2, the success of team bbpjn6 barokah","זה כל כך מגניב עם לא.1 איכות, באן קרייה, זה המטרה שלי להשיג את הירושה ל-CU2, ההצלחה של צוות bbpjn6 Barokah","Hal ini sangat keren dengan kualitas no.1, bhn Krja, itu tujuan saya untuk mendapatkan warisan untuk cu2, keberhasilan tim bbpjn6 barokah"
27,anger,"I'm going to graduate twice, so don't forget to study, and if that's not necessary, then there's a lot more sin than someone else's heart hurts.","אני אסיים את הלימודים פעמיים, אז אל תשכח ללמוד, ואם זה לא הכרחי, אז יש הרבה יותר חטא מאשר הלב של מישהו אחר כואב.","Aku akan lulus dua kali, jadi jangan lupa untuk belajar, dan jika itu tidak perlu, maka ada lebih banyak dosa daripada hati orang lain sakit."
28,anger,How can anyone not value a hijab/syari. sometimes a gemez s the one in class bae eh in group WA could be tapped into social harnessment.,איך מישהו יכול לא להעריך חיג'אב/סיארי. לפעמים ג'יימס הוא זה שבכיתה אה בקבוצה WA יכול להיות טפח לרתמה חברתית.,Bagaimana bisa seseorang tidak menghargai hijab/syari. kadang-kadang geez s satu di kelas bae eh dalam kelompok WA bisa disadap ke harness sosial.
29,fear,"Today's prom presentation is due to practice, so the chairman is accompanying Secretary 1, but I'm in charge of secretary 2, so the deg deg deg this.","המצגת של היום היא בשל תרגול, כך היו""ר מלווה שר 1, אבל אני אחראי על מזכיר 2, כך deg deg deg deg זה.","Presentasi prom hari ini adalah karena praktek, jadi ketua menemani Sekretaris 1, tapi aku bertanggung jawab sekretaris 2, jadi deg deg deg ini."
30,anger,My photos are in an instagram there are still forgetting the instant password so it can't be opened! This must be the government's fault and instagram Why did you use all the passwords!,התמונות שלי נמצאות באינסטגרם יש עדיין שוכח את הסיסמה המיידית כך שלא ניתן לפתוח את זה! זו חייבת להיות אשמת הממשלה וInstagram למה אתה משתמש בכל הסיסמאות!,Foto saya ada di sebuah instagram masih lupa password instan sehingga tidak dapat dibuka! Ini pasti kesalahan pemerintah dan instagram Mengapa Anda menggunakan semua password!
31,fear,"The afternoon drama: fasting all day and then in the shower, shocked by the arrival of uninvited guests at the last minute when adzan maghrib and then in the middle of the day it's considered legal to fast.","דרמת אחר הצהריים: צום כל היום ולאחר מכן במקלחת, בהלם מהגעתם של אורחים לא קרואים ברגע האחרון כאשר אדזן מאגריב ולאחר מכן באמצע היום זה נחשב חוקי לצום.","Drama sore: berpuasa sepanjang hari dan kemudian di kamar mandi, terkejut oleh kedatangan tamu tak diundang pada menit terakhir ketika adzan maghrib dan kemudian di tengah hari itu dianggap legal untuk berpuasa."
32,sadness,"It's really hard to love you, break up with you, let alone.","זה ממש קשה לאהוב אותך, להיפרד ממך, שלא לדבר על זה.","Ini benar-benar sulit untuk mencintai Anda, putus dengan Anda, apalagi."
33,anger,"Four years after they sent him back, the courier called and told him to bring him to the right address. He didn't even know it was him.","ארבע שנים אחרי שהם שלחו אותו בחזרה, השליח התקשר ואמר לו להביא אותו לכתובת הנכונה.","Empat tahun setelah mereka mengirim dia kembali, kurir menelepon dan menyuruhnya untuk membawanya ke alamat yang benar."
34,happy,"In the end, we're going to get through all of this, everything that we used to imagine how difficult it was to go through, and in the end we can only learn, learn, and learn, pick all the lessons we can learn, prepare for the future.","בסופו של דבר, נעבור את כל זה, כל מה שנהגנו לדמיין כמה קשה היה לעבור, ובסופו של דבר נוכל רק ללמוד, ללמוד וללמוד, לבחור את כל הלקחים שאנו יכולים ללמוד, להתכונן לעתיד.","Pada akhirnya, kita akan melalui semua ini, segala sesuatu yang kita gunakan untuk membayangkan betapa sulitnya untuk pergi melalui, dan pada akhirnya kita hanya bisa belajar, belajar, dan belajar, memilih semua pelajaran yang dapat kita pelajari, mempersiapkan diri untuk masa depan."
35,love,"Why is it that couples are often likened to ""home""? Because the comfort of being at home, you can be anything, you always come home to them.","למה זה שזוגות בד""כ משולים ל""בית""?","Karena kenyamanan berada di rumah, Anda bisa menjadi apa saja, Anda selalu pulang kepada mereka."
36,fear,"Yeah, I know that hurt feelings are hard, but there are times when it's on the front lines. Don't be in public. The situation right now...","כן, אני יודע שרגשות פגועים הם קשים, אבל יש זמנים שזה בחזית.","Ya, aku tahu bahwa sakit hati itu sulit, tapi ada saat-saat ketika itu di garis depan."
37,happy,4th grade class: I'm watching a TV video tutoring + craft @ YouTube. I've read 4th grade: T Clan novels. &amp Mira W. Minjem has a cousin,כיתה ד': אני צופה בוידאו של שיעורי בית ב-YouTube. 'קראתי את כיתה ד: הרומנים של שבט טי.,Kelas 4: saya menonton video TV tutoring + kerajinan @ YouTube. saya telah membaca novel-novel Klan T. &amp Mira W. Minjem punya sepupu
38,happy,"A few years later, the welfare of the mother's family increased, until her husband reached a high rank, not understanding the rank of the TNI, she lived well.","כמה שנים לאחר מכן, רווחתה של משפחתה של האם גדלה, עד שבעלה הגיע לדרגה גבוהה, מבלי להבין את דרגת ה-TNI, היא חיה היטב.","Beberapa tahun kemudian, kesejahteraan keluarga ibu meningkat, sampai suaminya mencapai tingkat yang tinggi, tidak memahami status TNI, ia hidup dengan baik."
39,sadness,"It's not unsupported or praying, it's just taking what you've already made, it's your choice and trying to keep it... here I am from afar supposed to be happy but to see you sad. My happiness fades... like the day you received your wedding invitation.","זה לא בלתי נתמך או מתפלל, זה פשוט לוקח את מה שכבר עשית, זה הבחירה שלך ומנסה לשמור את זה... הנה אני מרחוק אמור להיות מאושר אבל לראות אותך עצוב.","Ini bukan tidak didukung atau berdoa, itu hanya mengambil apa yang sudah kau buat, itu pilihanmu dan mencoba untuk menyimpannya... di sini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagiaanku memudar... seperti hari kau menerima undangan pernikahanmu."
40,happy,JNE/JNT as long as I'm using or sending a package/buy an oxhop from out of town until it's a maximum island three days until it's taken its car he can't find a confused address and can't get into a complex/gang even if it's on the other way home until it's delivered properly.,JNE/JNT כל עוד אני משתמש או שולח חבילה / לקנות אוקסהופ מחוץ לעיר עד שזה אי מקסימלי שלושה ימים עד שהוא לקח את המכונית שלו הוא לא יכול למצוא כתובת מבולבלת ולא יכול להיכנס למתחם / כנופיה גם אם זה בדרך אחרת הביתה עד שהוא מועבר כראוי.,JNE/JNT selama aku menggunakan atau mengirim paket/beli sebuah oxyhop dari luar kota sampai pulau maksimum tiga hari sampai itu diambil mobilnya ia tidak dapat menemukan alamat bingung dan tidak bisa masuk ke kompleks / geng bahkan jika di jalan lain rumah sampai itu disampaikan dengan benar.
41,anger,"It's hard for people who still view verbal sexual harassment as verbal or physical or whatever, it's just not right!","זה קשה לאנשים שעדיין רואים הטרדה מינית מילולית כמילולית או פיזית או מה שלא יהיה, זה פשוט לא בסדר!","Sulit bagi orang-orang yang masih menganggap pelecehan seksual secara verbal atau fisik atau apa pun, itu tidak benar!"
42,fear,What's the law of stad music?,מה החוק של מוזיקת סטאד?,Apa hukum musik stad?
43,anger,What's so great about Mardani?,מה כל כך נהדר במרדני?,Apa hebatnya Mardani?
44,sadness,"By the way, the mother gave birth to the third child, but she didn't know what year it was.","דרך אגב, האם ילדה את הילד השלישי, אבל היא לא ידעה באיזו שנה זה היה.","By the way, ibu melahirkan anak ketiga, tapi dia tidak tahu apa tahun itu."
45,happy,Z likes to tweet about girls ji all my friends here so they can nag and hurt their chests... talk 'monsteration' talk about fasting too free~~~~,"Z אוהב לצייץ על בנות ג'יג'י כל החברים שלי כאן כדי שיוכלו לנדנד ולפצוע את החזה שלהם... לדבר ""מפלצת"" לדבר על צום חופשי מדי ~~ ~",Z suka men-tweet tentang gadis ji semua teman-teman saya di sini sehingga mereka dapat mengomel dan menyakiti dada mereka ... berbicara 'monsterasi' berbicara tentang berpuasa terlalu gratis~~
46,anger,Don't you understand how difficult it is to support each other?,אתם לא מבינים כמה קשה לתמוך אחד בשני?,Tidakkah kau mengerti betapa sulitnya saling mendukung?
47,anger,"Today's a holiday, plans to watch Jurassic World, but I don't think it's going to work out.","היום הוא חג, מתכנן לצפות בעולם היורה, אבל אני לא חושב שזה הולך לעבוד.","Hari ini adalah hari libur, rencana untuk menonton Jurassic World, tapi aku tidak berpikir itu akan berhasil."
48,anger,Now this is the one who waits for the handsome boy with patience as wide as the ocean and his father is coming to make the child cry.,עכשיו זה אחד שמחכה לילד הנאה עם סבלנות רחב כמו האוקיינוס ואביו מגיע כדי לגרום לילד לבכות.,Sekarang ini adalah orang yang menunggu anak tampan dengan kesabaran selebar laut dan ayahnya datang untuk membuat anak menangis.
49,love,"I miss your whispers in my ears as you say, ""I hope you become a useful child to many and may you always love us your parents.""","אני מתגעגע ללחישות שלך באוזניי כמו שאתה אומר, ""אני מקווה שתהפוך לילד מועיל לרבים ושתמיד תאהב אותנו ההורים שלך.""","Aku rindu bisikan Anda di telinga saya seperti yang Anda katakan, ""Saya harap Anda menjadi seorang anak berguna untuk banyak orang dan mungkin Anda selalu mencintai kami orang tua Anda."""
50,anger,This is the result of school's origin... think the International Court of Justice has the authority to judge genocides as well...,זו התוצאה של מוצא בית הספר... חושב בית המשפט הבינלאומי של צדק יש את הסמכות לשפוט רצח עם גם כן...,Ini adalah hasil dari asal sekolah ... berpikir Pengadilan Internasional memiliki wewenang untuk menilai genosida juga ...
51,anger,"You're the one who should be asked tea, why can't you assume you're a nut without skin?","אתה זה שצריך להיות שאל תה, למה אתה לא יכול להניח שאתה אגוז ללא עור?","Kau yang seharusnya ditanyai teh, kenapa kau tak bisa anggap kau gila tanpa kulit?"
52,anger,"The web is a professional krg gem. There's a cashback program 10rb token pln, when clicked info, entry to the data quota package program.","האינטרנט הוא יהלום Krg מקצועי. יש תכנית קשבק 10b אסימון Pln, כאשר לחץ על מידע, כניסה לתוכנת חבילת מכסת הנתונים.","Web adalah permata profesional. ada program kasback 10rb token pln, ketika diklik info, masukan ke program paket kuota data."
53,fear,"Well, I'm afraid that's gonna be in the politics of religion, that's what's dangerous about our society being sensitive about it.","ובכן, אני חושש שזה הולך להיות בפוליטיקה של הדת, זה מה שמסוכן בחברה שלנו להיות רגיש על זה.","Yah, aku takut itu akan menjadi politik agama, itulah yang berbahaya tentang masyarakat kita menjadi sensitif tentang hal itu."
54,sadness,"fontcolor="" # FFFF00""wanttotellyouwhenit'slikethis? ruinedthislife fontcolor="" # FFFF00""thinkabouthowmyheart fontcolor="" # FFFF00""I'mso sad,I'msoweptthatthisislikethe lyrics fontcolor="" # FFFF00""sweetsweetsweetsweet song","F00"" Wanna tell you when it's like this? הרס את הגוון הזה בחיים""#""F00""think about how my Heart fontcolor=""#""F00""I'm so sad, I'm sowt that this is like the words fontcolor=""#""F00""Sweet sweet sweet sweet song song song song""","mau bilang padamu kalau ini seperti ini? hancur hidup ini pikirkan bagaimana hatiku aku sangat sedih, aku minta itu seperti liriknya lagu manis manis yang manis"
55,sadness,"After 20 days of fasting and never staying late, finally on the 21st day having a saur supeerrr dupeerr express, one minute before waking up yassalaam","אחרי 20 יום של צום ואף פעם לא נשארת עד מאוחר, סוף סוף ביום ה-21 שיש לך אקספרס סאור-רר-דופיר, דקה אחת לפני שהתעוררת יאסלאם.","Setelah 20 hari berpuasa dan tidak pernah tinggal terlambat, akhirnya pada hari ke-21 memiliki saur supeerr dupeerrr express, satu menit sebelum bangun yassalaam"
56,fear,"So there's an apbd, who has the power to be afraid, if underlined with kpk, and so they get it this year.","אז יש APBD, שיש לו את הכוח לפחד, אם תחתון עם kpk, ולכן הם מקבלים את זה השנה.","Jadi ada apbd, yang memiliki kekuatan untuk takut, jika digarisbawahi dengan kpk, dan sehingga mereka mendapatkannya tahun ini."
57,anger,Please help me (USERNAME) Why is my lptop not open the document twice? definitely not responding.pdhal has already been taken to the center phone already.,אנא עזור לי (USERENAME) מדוע IPTOP שלי לא לפתוח את המסמך פעמיים? בהחלט לא להגיב. pdal כבר נלקח לטלפון המרכזי כבר.,Tolong bantu saya (ASERNAMA) Mengapa IPtop saya tidak membuka dokumen dua kali? pasti tidak menanggapi.pdhal telah dibawa ke telepon pusat sudah.
58,anger,Is the product being processed or processed on 11th?,האם המוצר מעובד או מעובד ב -11?,Apakah produk sedang diproses atau diproses pada tanggal 11?
59,anger,[USERNAME] The Indonesian cement hasn't been mined yet in the Rembang... There's a company only 200 meters from the cement mine area that hasn't been protested and it's been tested for years...,המלט האינדונזי עדיין לא נכרה ברמבאנג... יש חברה במרחק 200 מטרים בלבד מאזור מכרה הבטון,[ASERNAMA] semen Indonesia belum ditambang di Rembang... ada sebuah perusahaan hanya 200 meter dari area tambang semen yang belum diprotes dan sudah diuji selama bertahun-tahun...
60,anger,WHO SAID TO HAVE A CHILDREN GLASSING THE TEROS *Sodorin SNOWN BUT DON'T WANT TO BOO*,"מי אמר שיש לו ילדים שמשקיפים את הטרוס, אודורין סנואו, אבל הוא לא רוצה להיות בו.",Yang mengatakan untuk memiliki anak-anak yang menikmati TEROS (Sodorin SNOWN) tapi tidak ingin boo*
61,sadness,"I feel like I know something and I'm not supposed to talk to anyone. Well, neglect is the opposite, so it changes the cycle and the timeline that it's supposed to happen.","אני מרגיש שאני יודע משהו ואני לא אמור לדבר עם אף אחד ובכן, הזנחה היא ההפך, אז זה משנה את המחזור ואת ציר הזמן שזה אמור לקרות","aku merasa seperti aku tahu sesuatu dan aku tidak seharusnya berbicara dengan siapa pun well, mengabaikan adalah sebaliknya, jadi itu mengubah siklus dan garis waktu bahwa itu seharusnya terjadi."
62,anger,"He's got a best friend with two friends, but he's always so inconsistent with lying all the time.","יש לו חבר הכי טוב עם שני חברים, אבל הוא תמיד כל כך לא עקבי עם משקר כל הזמן.","Dia punya teman terbaik dengan dua teman, tapi dia selalu tidak konsisten dengan berbohong sepanjang waktu."
63,happy,"If you know that there's a long holiday - other than the width - it's like you want to pick up the cerrier with your shoes and go, meet nature and make peace with her,","אם אתה יודע שיש חג ארוך - מלבד הרוחב - זה כמו שאתה רוצה להרים את Cerrier עם הנעליים שלך וללכת, לפגוש את הטבע ולעשות שלום איתה,","Jika Anda tahu bahwa ada liburan panjang - selain lebar - itu seperti Anda ingin mengambil carrier dengan sepatu Anda dan pergi, bertemu alam dan membuat perdamaian dengan dia,"
64,anger,Who's to say that the infidels joined together misaligned bro don't distract your issue who's the smuggler of the Earthdatar as if it were a Pancasila pro [USERNAME] [URL],מי יכול לומר שהכופרים חברו יחד אחי לא משוייכת לא להסיח את דעתך מי מבריח את כדור הארץ כאילו זה היה Pancasila פרו [UNTERENAME] [URL],Siapa yang mengatakan bahwa orang-orang kafir bergabung bersama-sama misaligned bro tidak mengalihkan masalah Anda yang penyelundup Earthdatar seolah-olah itu Pancasila pro [USERNAME] [URL]
65,happy,"fontcolor="" # FFFF00""bythepraysoftheparent'sfare fontcolor="" # FFFF00""yes... fontcolor="" # FFFF00""whenit'sadopportunity fontcolor="" # FFFF00""thenfindyouhome. fontcolor="" # FFFF00""fromday fontcolor="" # FFFF00""memsenfromthe banymas fontcolor="" # FFFF00""Wasthisthemaradan [URL]","""F=""F=""F}00""By the adopportunity fontcolor=""#""F00""F00""F00""F00""F00""F00""כאשרזהDapportunityFontcolor=""#""F00""Then find you home.Pontcolor=""#""F00""F00""F00""F00""ffft""Fffoutontcolor""#""F00""F00""mensen from the banymas fontycolor""#""F00""F00""Wasthematmuen""",dengan doa orang tua ya... kalau itu bisa dibagi kalau begitu temukan kau di rumah. mulai hari ini... susum dari banymas itu apakah ini mereka dan url
66,anger,One of the ungrateful examples... of being here when the famous pi wannaone... the ckckc who was fighting who?,אחת הדוגמאות כפויות הטובה... של להיות כאן כאשר pi wannaone המפורסם... ccc שנלחם מי?,Salah satu contoh tidak tahu berterima kasih ... berada di sini ketika yang terkenal pi wannaone ... ckckc yang berkelahi siapa?
67,fear,I'm going to get a stomach ache. I'm going to take a check. I'm going to pay for it.,"אני הולך לקבל כאב בטן, אני הולך לקחת צ'ק, אני הולך לשלם על זה.",Aku akan sakit perut. aku akan mengambil cek. aku akan membayar untuk itu.
68,sadness,I'm sorry for your friend. Hopefully. The family left behind a. Can be patient &amp; meridoi alm.. #sajete #wani,"אני מצטער בשביל החבר שלך, בתקווה המשפחה השאירה מאחור... יכולה להיות סבלנית... מרידוי אלם... סג'טה#וואני#",aku minta maaf untuk temanmu semoga keluarga yang tertinggal bisa bersabar &amp; meridoi alm.. #sajete #wani
69,anger,"[USERNAME] Network's down, right?","הרשת מושבתת, נכון?","Font color = ""# 404040"" USERAME: Jaringan apos; s bawah, kan?"
70,anger,"You haven't been born or a bong school yet I guess... or are you Mr. bong Bandit, robbed or something that's been bothering people? &lt;i&gt;Mr. Soeharto said that Pki Bandits Rampok Bong bong bong bong bong bong-gunakkk&lt;/i&gt; &lt;i&gt;URL&lt;/i&gt;","עוד לא נולדת או בי""ס לבאנג, אני מניח... או שאתה מר בנדיט הבאנג, נשדד או משהו שמטריד אנשים?","Kau belum lahir atau sekolah bong aku kira... atau kau Tuan Bong Bandit, dirampok atau sesuatu yang mengganggu orang-orang? &lt;i&gt;Mr Soeharto mengatakan bahwa Pki Bandits Rampok Bong bong bong-gunakkk&lt;/i&gt; &lt;i&gt;URL&lt;/i&gt;&lt;/i&gt;"
71,anger,"For those of you who have worked so hard now, I must have a lot to do. No one controls the .flexible. There's more money.","לאלו מכם שעבדו כל כך קשה עכשיו, בטח יש לי הרבה מה לעשות אף אחד לא שולט על גמישות.","Bagi kalian yang telah bekerja keras sekarang, aku harus punya banyak yang harus dilakukan. tidak ada yang mengontrol .fleksibel. ada lebih banyak uang."
72,sadness,So there's an international event and some countries haven't confirmed that there's no fear of terror either.,אז יש אירוע בינלאומי וכמה מדינות לא אישרו שגם אין פחד מפני טרור.,Jadi ada acara internasional dan beberapa negara belum mengkonfirmasi bahwa tidak ada rasa takut teror baik.
