,label,tweet
39,sadness,"Ini bukan tidak didukung atau berdoa, itu hanya mengambil apa yang sudah kau buat, itu pilihanmu dan mencoba untuk menyimpannya... di sini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagiaanku memudar... seperti hari kau menerima undangan pernikahanmu."
40,happy,JNE/JNT selama aku menggunakan atau mengirim paket/beli sebuah oxyhop dari luar kota sampai pulau maksimum tiga hari sampai itu diambil mobilnya ia tidak dapat menemukan alamat bingung dan tidak bisa masuk ke kompleks / geng bahkan jika di jalan lain rumah sampai itu disampaikan dengan benar.
41,anger,"Sulit bagi orang-orang yang masih menganggap pelecehan seksual secara verbal atau fisik atau apa pun, itu tidak benar!"
42,fear,Apa hukum musik stad?
43,anger,Apa hebatnya Mardani?
44,sadness,"By the way, ibu melahirkan anak ketiga, tapi dia tidak tahu apa tahun itu."
45,happy,Z suka men-tweet tentang gadis ji semua teman-teman saya di sini sehingga mereka dapat mengomel dan menyakiti dada mereka ... berbicara 'monsterasi' berbicara tentang berpuasa terlalu gratis~~
46,anger,Tidakkah kau mengerti betapa sulitnya saling mendukung?
47,anger,"Hari ini adalah hari libur, rencana untuk menonton Jurassic World, tapi aku tidak berpikir itu akan berhasil."
48,anger,Sekarang ini adalah orang yang menunggu anak tampan dengan kesabaran selebar laut dan ayahnya datang untuk membuat anak menangis.
49,love,"Aku rindu bisikan Anda di telinga saya seperti yang Anda katakan, ""Saya harap Anda menjadi seorang anak berguna untuk banyak orang dan mungkin Anda selalu mencintai kami orang tua Anda."""
50,anger,Ini adalah hasil dari asal sekolah ... berpikir Pengadilan Internasional memiliki wewenang untuk menilai genosida juga ...
51,anger,"Kau yang seharusnya ditanyai teh, kenapa kau tak bisa anggap kau gila tanpa kulit?"
52,anger,"Web adalah permata profesional. ada program kasback 10rb token pln, ketika diklik info, masukan ke program paket kuota data."
53,fear,"Yah, aku takut itu akan menjadi politik agama, itulah yang berbahaya tentang masyarakat kita menjadi sensitif tentang hal itu."
54,sadness,"mau bilang padamu kalau ini seperti ini? hancur hidup ini pikirkan bagaimana hatiku aku sangat sedih, aku minta itu seperti liriknya lagu manis manis yang manis"
55,sadness,"Setelah 20 hari berpuasa dan tidak pernah tinggal terlambat, akhirnya pada hari ke-21 memiliki saur supeerr dupeerrr express, satu menit sebelum bangun yassalaam"
56,fear,"Jadi ada apbd, yang memiliki kekuatan untuk takut, jika digarisbawahi dengan kpk, dan sehingga mereka mendapatkannya tahun ini."
57,anger,Tolong bantu saya (ASERNAMA) Mengapa IPtop saya tidak membuka dokumen dua kali? pasti tidak menanggapi.pdhal telah dibawa ke telepon pusat sudah.
58,anger,Apakah produk sedang diproses atau diproses pada tanggal 11?
59,anger,[ASERNAMA] semen Indonesia belum ditambang di Rembang... ada sebuah perusahaan hanya 200 meter dari area tambang semen yang belum diprotes dan sudah diuji selama bertahun-tahun...
60,anger,Yang mengatakan untuk memiliki anak-anak yang menikmati TEROS (Sodorin SNOWN) tapi tidak ingin boo*
61,sadness,"aku merasa seperti aku tahu sesuatu dan aku tidak seharusnya berbicara dengan siapa pun well, mengabaikan adalah sebaliknya, jadi itu mengubah siklus dan garis waktu bahwa itu seharusnya terjadi."
62,anger,"Dia punya teman terbaik dengan dua teman, tapi dia selalu tidak konsisten dengan berbohong sepanjang waktu."
63,happy,"Jika Anda tahu bahwa ada liburan panjang - selain lebar - itu seperti Anda ingin mengambil carrier dengan sepatu Anda dan pergi, bertemu alam dan membuat perdamaian dengan dia,"
64,anger,Siapa yang mengatakan bahwa orang-orang kafir bergabung bersama-sama misaligned bro tidak mengalihkan masalah Anda yang penyelundup Earthdatar seolah-olah itu Pancasila pro [USERNAME] [URL]
65,happy,dengan doa orang tua ya... kalau itu bisa dibagi kalau begitu temukan kau di rumah. mulai hari ini... susum dari banymas itu apakah ini mereka dan url
66,anger,Salah satu contoh tidak tahu berterima kasih ... berada di sini ketika yang terkenal pi wannaone ... ckckc yang berkelahi siapa?
67,fear,Aku akan sakit perut. aku akan mengambil cek. aku akan membayar untuk itu.
68,sadness,aku minta maaf untuk temanmu semoga keluarga yang tertinggal bisa bersabar &amp; meridoi alm.. #sajete #wani
69,anger,"Font color = ""# 404040"" USERAME: Jaringan apos; s bawah, kan?"
70,anger,"Kau belum lahir atau sekolah bong aku kira... atau kau Tuan Bong Bandit, dirampok atau sesuatu yang mengganggu orang-orang? &lt;i&gt;Mr Soeharto mengatakan bahwa Pki Bandits Rampok Bong bong bong-gunakkk&lt;/i&gt; &lt;i&gt;URL&lt;/i&gt;&lt;/i&gt;"
71,anger,"Bagi kalian yang telah bekerja keras sekarang, aku harus punya banyak yang harus dilakukan. tidak ada yang mengontrol .fleksibel. ada lebih banyak uang."
72,sadness,Jadi ada acara internasional dan beberapa negara belum mengkonfirmasi bahwa tidak ada rasa takut teror baik.
73,anger,Gubernur Anies Baswedia mendapatkan emosi dan membiarkan dia meluncur! [NAMA USERN] [NAMA SEMENTARA] [NAMA ASERN] [NAMA USIAN] [NAMA SERIKAT] [NAMA SEMENTARA] [ASTERN] [NAMAUS] [URL] [URL]]
74,anger,Oposisi tidak membuat adegan di media termsk medsos ketika musim keras adalah khusus. ... [URL]
75,sadness,"Aku puasa, tapi aku dalam perjalanan ke sini di pagi hari dengan alamat, eh, film kalee."
76,anger,Heie aku melihat pohon plastik pertama kemarin dari rekeningmu menyebar di atas fb... ini bukan hanya sebuah nol besar tapi ini adalah sdr wajah lurus... terima kasih.
77,anger,Apa ini? bahkan ke alamat seseorang.
78,fear,Saya telah membaca buku ada PDKT bule mengatakan menemukan rumah yang sama.
79,anger,Masalahnya adalah uang untuk konsumsi.
80,sadness,Tujuan dari pergi ke masjid doanya di lantai dua adalah untuk mengatakan sesuatu karena biasanya tidak banyak di sini.
81,happy,"Ini paling menarik untuk berbicara dengan orang-orang kreatif, siap untuk terkejut dengan ide-ide mereka bahwa Anda mungkin tidak pernah berpikir: ""Oh, ya, mengapa saya hanya berpikir?"""
82,anger,"Miris: menciptakan pekerjaan dengan kesulitan yang menguras pikiran, kekuasaan, waktu dan materi, ... dilanjutkan oleh orang-orang yang menyalin dan / atau hanya menerima penggunaan lengkap dari orang lain bekerja dengan gimmic dan sensasi. Apa yang Anda pikirkan tentang [NAMA SERIKAT]?"
83,anger,"Sisi mana yang meniru pernyataanku? Tunjukkan, siapa tahu aku salah bicara."
84,anger,"Ini adalah orang biasa yang memberikan banyak kredit ini, setidaknya dia bisa lakukan adalah menyalahkan orang-orang dan mengeluh tentang bagaimana sempurna seorang pria."
85,happy,Aku tidak bisa berhenti ... uang itu pada saya.
86,anger,"Apa yang ingin kau katakan?&lt;/font&gt; &lt;font color=""#ffff00""&gt;Kau punya dendam terhadap Anies.&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apakah kau pernah menyakiti anolh gub Anies?&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apa yang salah Anies?&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apa yang salah Anies?&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apa yang kau lakukan?&lt;/font&gt; &lt;font color=""#ffff00""&gt;Apa?"
87,sadness,"Ketika Anda berada di kelompok keluarga Anda berbicara tentang, Anda terlambat, tetapi jika suami Anda memiliki empat hari libur, itu empat hari lagi."
88,sadness,Orang-orang yang kalah dalam pertarungan POLIIST sulit disembuhkan karena mereka tidak bisa mencapai mimpi dan kehilangan banyak properti.
89,sadness,"Tidak ada sinyal di rumah, itu membuat saya berpikir terlalu banyak, tapi, pikiran di mana aku akan, acak, tapi ada harus menjadi satu."
90,fear,"Ada kasus tuduhan cabul terhadap Imam Besar Rizieq telah dihentikan, silakan membantu berdoa untuk kebenaran."
91,fear,"Jangan pegang tanganku lagi... (NAMA BERDASARKAN) [NAMA BERKAS]... orang ini sudah memiliki blognya, juga... ya meskipun dia tidak menulis jam 2 pagi."
92,anger,"Adalah baik untuk menemukan orang-orang yang selalu terpojok oleh Ansor, tetapi jika itu terus-menerus difitnah, tidak tinggal diam, sudah waktunya."
93,love,"Jangan lupa makan siangmu, bagaimana perasaanmu?"
94,anger,"Ini bong bodohmu.. mengatakan untuk membaca, tidak membaca... UN KANAL OF MASYUMI, UN = BELIEF BULAN BINER = MASUMI BLUE"
95,fear,Mudah-mudahan itu akan diunggah sebelum z naik karena bahkan penggemar kuota modal membutuhkan daerah jaringan yang baik ... hiks pada jam juga.
96,anger,[NAMA USTERN] [ASTERNAME] [ASTERNAMA] [ASTERNAME] [NAMA BERKAS] [ASTERN] [NAMA USIAN] [NAMA SESARNAMA] [ASTERN] [NAMAUS] [ASTERN] [URL] [URL]
97,anger,"jangan terlalu terikat kau meneleponku, kau akan menjadi pencuri sungguhan ketika kau berhasil aku akan memberimu satu."
98,happy,"Terima kasih Tuhan, Prof, setelah berbicara dengan Anda tadi malam di Ajamiin, rasanya baik untuk bersama Anda."
99,happy,"Keren!! Beberapa orang masih tidak mengatakan Pak [ASERNAMA] anti-islamik? 3.5 triliun, 142 hektar, sehingga Islam perguruan tinggi Al-Azhar kelas. belum lagi Ponpes, madrasah, Mossid dan fasilitas ummat lainnya."
100,anger,"[ASERNAMA] Saya datang untuk mengajukan pertanyaan, dan kemudian saya berbicara dengan Dr. Limba, tapi saya tidak mengerti karena saya tidak mendapatkan jawaban atas pertanyaan saya."
101,anger,Aku dulu gemuk ketika aku bertemu Apsara ketika aku bertemu dengannya.
102,fear,"Jika itu buruk, mungkin itu bisa berubah dengan usia atau perubahan, jika kebiasaan buruk mungkin sulit, kan?"
103,fear,"Menekan pada..bejubelan, di kRL adalah salah satu godaan berpuasa .. apa lagi yang ada seorang wanita cantik sementara dia tahu gejrot..he.."
104,anger,[USERNAMA] #Busing adalah bagian kecil dari slogan.s telah diimplementasikan satu sisi. Dan nama besar itu telah menjamin ya..truspenin ke toko resmi jika saya membatalkannya.pdhl tidak membatalkannya.jdr
105,happy,Happy birthday to us [ASERNAMA] and happy 6th anniv wkwkwk Bentar again We break up huhu I have to find a new boyfriend :3 [URL]
106,fear,Lalu baca komentar tentang bagaimana itu ilegal dan bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla
107,happy,"Rabu, 06-06-2018, istri dan anakku selesai sekolah di Ibu TK Bhakti, Batauheni."
108,anger,"Saya menjalani kehidupan yang aman dan damai bagi rakyat, tetapi tidak damai bagi Bandit dari Bandits, Bandit dari Bandits, Bandit dari Bandits dari Bandits, yang ingin menjadi petugas negara, tetapi otak mereka adalah satu-satunya orang yang tidak menyukai Bapa Sofaro [URL]."
109,happy,"Dengan semua dewan guru... terima kasih telah membimbing anak kami selama ini, Bu... semoga para ibu dibuat lebih mudah bagi diri mereka sendiri, dan ilmu pengetahuan yang saya ajarkan akan menjadi karya seni... yang hadiahnya akan terus mengalir ke ibu, selamanya... [URL]"
110,anger,"Aku tidak peduli, tapi jika ada yang membuat adegan atau tidak nyaman, jangan memintaku untuk bergaul dengannya."
111,sadness,"Untuk kalian yang diberi gigi segar sejak lahir, bersyukurlah! Untuk mengenakan bel ternyata lebih menyakitkan daripada sakit hati. &lt;i&gt;Bagus sekali!&lt;/i&gt; &lt;i&gt;Ya Tuhan!&lt;/i&gt; &lt;i&gt;Terima kasih Tuhan!&lt;/i&gt; &lt;i&gt;Kamu jauh lebih sakit hati daripada sakit hati.&lt;/i&gt; &lt;i&gt;Selamat pagi.&lt;/i&gt; &lt;i&gt;Terima kasih Tuhan.&lt;/i&gt;"
112,happy,"Alhamdulillah Pie, di RSUP Kamiadi Ini benar-benar diurus, sehingga tidak panas lagi"
113,anger,"Karena ada terlalu banyak proyek yang telah menjadi penipuan dan penipuan, saya ingin mencoba membawa mereka bersama dengan kreasitor ciptaan mereka yang telah membawa begitu banyak uang orang (termasuk tambang) ke bidang hukum Indonesia."
114,anger,aku akan berurusan dengan Nikita Mirzani! jangan berbagi ke konsumsi publik!
115,fear,Dimana temanku?
116,fear,"""Tuh, pasti ada sesuatu...."" ""Ulfa harus merasakan ini."" ""Satu menit, satu detik..."""
117,anger,"Ini adalah salah satu gadis yang berpikir dia jahat, jari-jarinya jahat."
118,sadness,"Kau begitu marah: kau begitu marah, kau begitu bahagia, kau tidak bisa diam."
119,anger,"Aku sudah bilang jutaan kali, Mr Harto hanya kejam, Pki Bandit Rampok."
120,happy,Aku akan melihat Anda dalam beberapa menit.
121,anger,"Mereka akan kehilangan banyak uang dari pajak tembakau, hutang negara akan tumbuh."
122,fear,"Eh, tapi itu tidak seperti diperlakukan seperti itu, itu tidak seperti itu hanya sedikit liar tumbuh atau total-golongan."
123,anger,"Ini bus dekat kantor, itu datang pada akhirnya, dan jika tidur siang di sofa, itu sesuatu untuk memberitahu Anda."
124,anger,"Font color = ""# 404040"" USERNAME: Ini tidak dapat sebaik melepaskan tanggung jawab kepada para pendukung hanya didasarkan pada ToC antara Kickstarter sebagai platform penyedia kerumunan-penndanai, penciptaan dan backers."
125,sadness,"Ada seorang anak di sekolah yang pergi atau semacam kelulusan, mengambil gambar teman-temannya mengenakan pakaian dan kemudian posting di IG dengan judul 'yang akan menikah pertama', dan aku akan mendapatkan mengetuk bawah dan aku akan minum jos ekstra."
126,happy,"Kau begitu lambat, Anda ingin berbicara tentang z ketika Anda makan begitu banyak, Anda tidak crawly, Anda mendapatkan lebih bahagia."
127,anger,Siapa yang takut... Siapa satu-satunya kandidat?
128,anger,"Penipuan, rahmat dari ibukota bangsa saya dipimpin oleh orang-orang yang haus akan jabatan tanpa mempedulikan rakyatnya, kebohongan kepada [NAMA SERIKAT] [NAMA AS]"
129,fear,"Aku punya tumpangan dengan teman, aku tidak punya ponsel, aku berjanji akan dijemput di setengah dua lalu, karena aku tertidur, dan orang yang menjemputku tidak pulang, bingung."
130,sadness,"Ya, kau seorang pria, pembuat keputusan, tapi aku juga ingin dipertimbangkan, dibahas, diminta, diminta untuk mencari jalan keluar, atau hanya menenangkan diri."
131,sadness,"Saya akhirnya ingin mengatakan, saya tidak ingin sakit, mengapa migren ini harus datang ketika terlalu banyak masalah untuk berpikir tentang, terutama jika itu akan sakit."
132,happy,"Pendongeng dari kemarin tidak menangkapnya, beberapa hari yang lalu, berjuang di masjid itu keluar dari tempat."
133,happy,Selamat (ASTERNAMA) dapat diluncurkan dan mendapat kesempatan untuk melihat orang - orang di atas panggung [NAMA BERKAS] Semoga berhasil!!!! [URL]
134,fear,"Aku tidak bisa menjamin itu, tapi Pak Polisi siap untuk lepas landas tanpa bahkan satu pekerjaan."
135,anger,Bagaimana kau bisa menjadi seorang gadis yang tangguh dan menjadi begitu berarti bagi seorang pria?
136,sadness,"Aku tidak mendengar kabarmu selama seminggu, aku sibuk dengan ijazah anakmu, aku belum mendengar kabar darinya selama seminggu."
137,sadness,haaahahabara... waktunya untuk bersama-sama... pemerintah yang sombong memberikan salam untuk waktu yang lama
138,anger,Tolong jangan paksa aku untuk memasukkan dmn. Tolong sopan dan jelas bahwa kau tidak ingin menjadi tidak stabil!!!!!! Tentu saja aku sudah mengikuti aturan
139,anger,"Pembukaan daging suci Allah ... kita membaca pembukaan tagihan 1945, semua bintang dari R.I.B.20O."
140,anger,"Seberapa sulit untuk menghargai sedikit hal yang sama yang orang lain lakukan dengan memberi mereka hak mereka tepat waktu, saya pikir itu adalah kebutuhan?"
141,anger,"Ya, tutup mata Anda karena pejabat tidak hanya teman baik tapi tahu etika kabinet."
142,happy,Apa pendapat Anda tentang pakaian Rame dalam pakaian yang luas?
143,happy,"Siang, semoga harimu menyenangkan."
144,sadness,Aku biasa membeli pembeli dengan manual atm. asalkan cocok dengan nomor.
145,sadness,"Saya berpikir bahwa pembeli tidak harus memberitahu rekening orang-orang, tapi apa pun yang Anda pikirkan, itu digunakan untuk menjadi pertama seorang pesen lenti dongan, yang datang dengan boneka pokemon"
146,happy,Terima kasih teman HMJ D3 Perawat Stykes Al Irsyad Cilacap untuk berbagi kebahagiaan dengan Tuhan dan putri [USERNAMA] [URL]
147,sadness,Aku tak suka saat kau disebut pencuri.
148,anger,"Pria itu adalah ibu serakah, menteri telah dirampok juga, banyak tahu rahasia negara waktu di istana dengan orba, bandit Bingit"
149,anger,"Jika Anda tidak membayar denda ini, jika Anda mendapatkan dipotong di 2,40 jam, Anda akan terlambat."
150,happy,"Sebagai pendukung [ASERNAMA] Saya tidak suka Barca, tetapi sebagai pecinta sepak bola saya suka film ini, itu keren."
151,anger,Ini konyol bagaimana Anda mengatakan bahwa Anda memainkan permainan begitu sepele dia tidak nyaman di depan umum sehingga ia dapat mengajarkan pelajaran kepada mereka yang ingin menggoda jika ia tidak ingin malu.
152,anger,"Aktivis Fari 0 nol konten, di mana reformasi Anda mengubah apa-apa kecuali koar gratis di negara saya, itu harus Golkar Anda bubar, Harto menjatuhkan Golkar di kakinya, kata amien Raisa bodoh"
153,anger,Benang ini disajikan oleh wanita yang membenarkan diri terhadap penganiayaan wanita lain atas dasar insiden tersebut dan tidak ada yang mengeluh tentang.
154,anger,"Ada sesuatu yang lebih konyol daripada kasus harness seksual yang memukul Via Vallen: politisi &amp; partai politik menggunakannya sebagai ""pertunjukan panggung"" atas dasar pembelaan korban. #HilihKinthil"
155,happy,"Wajah drummer lucu, tapi dia mesin."
156,sadness,"Hal ini terjebak di sudut, dan di samping mobil saya, ada gerobak mie ayam yang sangat menarik, dan itu hanya melihat gerobak."
157,anger,"Aku sudah mengomel padanya untuk sementara waktu dan kemudian menggedor hidungnya dan berkata, ""Jika terjebak dengan jalan normal saya, saya akan kehilangan gas."""
158,happy,"HBD istri saya tercinta Amoy berharap u semua yang terbaik, ... semoga selalu dalam perlindungan SWT, panjang hidup, selalu bahagia dengan keluarga dan kerabat, selalu sehat, selalu lebih dan selalu seorang wanita yang besar untuk keluarga .... Aamiin [URL]"
159,anger,"Itu adalah Wiranto, karena Wiranto membuat Abibie kembali ke PANGAB."
160,anger,"Jika ini tentang hak asasi manusia, kau ingin bertanya pada Corruptor ketika pencuri berpikir tentang hak orang lain? &lt;i&gt;Itu dia! &lt;i&gt; &lt;i&gt;Itu dia!"
161,anger,"Anda belum lahir bong, meminta ibumu ... untuk membuat jelas ... bahwa era SOEKARNO BONG pergi ke ORBA dan kemudian itu dihapus, bisa itu menjadi salah satu keluarga Anda?"
162,fear,Mari kita tidak mendapatkan semua terlibat dalam OPOSI yang digunakan untuk menyebabkan kejang-kejang.
163,happy,Jangan lihat aku.
164,anger,"Font color = ""# 404040"" USERNAME: Saya mencoba untuk menghubungi orang yang telah dipanggil dan diminta di belakang untuk mempertanyakan prosedur pembelian, itu sudah 5 hari sejak Jumat tidak diikuti."
165,sadness,"Ketika aku seorang pria, aku sudah mati dalam hidupku. aku jatuh cinta padanya."
166,sadness,"Woah... jadikan ini fitnah, urusan bermusuhan, SMA karena tak seorang pun ingin menjadi teman, trauma setiap Minggu malam karena besok pagi, sekolah, mendapat malu di depan banyak orang."
167,sadness,"Rencananya tidak sampai ke rumah, tidak menyentuhnya sama sekali."
168,sadness,"Dia tidak berpikir itu pelecehan seksual, jadi dia tidak mengerti apa pun yang termasuk pelecehan seksual."
169,anger,[NAMA BERDASIR] [ASTERNAMA] Saya mengirim dokumen penting dari JKT -sby jadi saya menggunakan YES. kirim Senin 4juni harus Selasa 5juni.
170,anger,Yaelahh Anda harus dari pesta sapi?
171,sadness,"Saya punya anak di kelas saya, dan ada banyak siswa yang putus asa di kelas saya, karena saya seorang guru yang sengit pada saat yang sama."
172,sadness,"Ya, teman-teman yang kebanyakan adalah gadis-gadis juga."
173,fear,"Tapi sekarang, saya tidak tahu kapan pikiran saya berubah, dan jika saya berpikir tentang berbagi sesuatu yang gila, saya akan berpikir ribuan kali untuk menulis di Twitter/IG."
174,anger,"Nah, apa yang terlalu banyak adalah bahwa jika ada echelon pjbt yang salah tentang kesalahan dokumen dia, itu bukan untuk disalahkan."
175,fear,"Jadi begitulah dulu, menghilang dariku, mengekspresikan kegilaan, sekarang menghubungkan socmed lebih gelap daripada dunia nyata, uh, untuk menjadi dunia nyata yang kubuat dari socmed."
176,anger,"Namanya Master Sir, ia ingin kaki, kaki, kaki, kaki, kaki, kaki, kaki, kaki."
177,happy,"Saya menyadari bahwa satu pilihan saya adalah untuk bersama Anda di tempat ini, untuk hidup dengan semangat baru, meskipun tidak secantik yang saya harapkan, tidak seburuk seperti yang saya bayangkan, saya masih berdiri di hari yang penuh warna."
178,anger,"Maklum, Sir, bahwa kapten RADIC tinggal di lubang di Mekkah!"
179,sadness,Saya sedih karena tidak bisa mengatakan kesedihan saya untuk rasa sakit saya!!
180,anger,"Ini adalah bong logam yang baik... hidup di prodeo hotel... dipecat Mak Mega Hahahahaha... jadi jangan main-main dengan logam Anda... hidup Anda... tertangkap oleh OTT, PCIP pecat Regent Purbalingga [URL] melalui [USERNAMA]"
181,sadness,"13:23 WIB Saya benar - benar kehilangan pria yang membesarkan saya sejak kecil, membesarkan saya, merawat saya, melindungi saya, dan saya benar - benar kalah."
