,label,tweet,en_tweet
10,anger,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]","That's right Min Indonesian people now hope to live with TNI, if the others look at it, it's obvious the attack on the media office, said there's no criminal element, is obviously insulting the legitimate Indonesian president, just funny, #TNI [URL]"
11,anger,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dsb kan. Kpopers baru ya? Fansite udh ada dr jaman kamera belom sebening skrg!,"Even if the fans sell their shots, the money runs into the idol too."
12,happy,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h","So thankful to be able to pray for his grandfather, Karno Man, along with the orphans. #Moon Carno #JuniNungKarnoQarno #Connecter Indonesia's People #number2 for the team #jatumselectablepulputi #KabehSedterKabehMakmur [USNAME]"
13,sadness,Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.,"It's hard to accept the fact that there are some who think that when we interact with one particular group, we immediately say a certain class for a moment without we study it whole and claim ourselves to be the right ones."
14,anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,No one steals. No one fucks the dog. No monkey demon.
15,anger,"Ku juga pengen ngamuk bacain komen2 netizen yg mahabenar. Ya Lord. Ga abis pikir. Komen2 macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yg komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]",I also want to read the most authentic netizens' comments.
16,love,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat","Every chance you've ever been to can make you feel safe and comfortable, now it's the honor you've ever had."
17,anger,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,"It's good that you're not sleeping in my bed, I'm sleeping you're sleeping with what you're going to be."
18,happy,"H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe ga keliatan mbak2nya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia ",H-9. Gonna go to the Rame Bank where the seat line is outside the gold shop doesn't seem to sell.
19,anger,"Benar2 hancur negara ini dikelola amatiran, tp kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]","This country is completely destroyed by amateurs, but [USERNAME] not heeding its own statement?"
20,anger,"Budayakan mencari dan membaca sebelum nanya ya. Udah dijelaskan berkali2 kok. Selama ga diatur/gaada ketentuan khusus, pakai aja",It's been explained many times as long as it's not arranged.
21,sadness,"Separuh hati ini iri jika melihat seorang anak yg masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yg begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yg terbaik untuk kita semua.","Half the heart is jealous to see a child still sitting or walking with his mother, and half the heart helps to see a child so troubled when his mother is sick."
22,happy,Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku,"When I smile, it doesn't mean that my life is perfect. I'm just grateful for what I have and what God has given me."
23,sadness,"dari mau tdr, tidur, sampe bgn tdr kok yaa kayak ngerasa aneh.. ga enak hati. udah dibawa istighfar masih aja. bgn tdr kayak sedih, kayak mikir ga puguh. ini knp bgt coba :(","from going to bed, to sleep, to not be sad, like it's strange.. not to think about it. This is why I'm trying:"
24,love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months,I will hold you tight until no one can snatch you from my arms Happy Anniversary Sig #6nov #31months
25,anger,Kalo mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,"If you're going to change president, you need to be clear who the candidate is."
26,happy,"Sukses n keren banget dgn no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan","It's so cool with no.1 quality,bhn krja,it's my goal to get the inheritance to cu2, the success of team bbpjn6 barokah"
27,anger,"Udah mau sarjana 2 kali, mbokya mulut nya jangan ketinggalan buat belajar. Sekiranya itu ga perlu diungkapkan, nambah dosa + nyakitin hati orangnya mending diem2 bae lah. Kasian anda nya yg di julidin sm orang.","I'm going to graduate twice, so don't forget to study, and if that's not necessary, then there's a lot more sin than someone else's heart hurts."
28,anger,Gimana orang ga nilai dr jilbab/syari/nggak nya. Kadang gemez sm orang yg dikelas diem2 bae eh di grup WA bisanya dia nyeletuk mengarah ke social harassment.,How can anyone not value a hijab/syari. sometimes a gemez s the one in class bae eh in group WA could be tapped into social harnessment.
29,fear,Hari ini jadwal presentasi proker di LPPM karna ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa) ,"Today's prom presentation is due to practice, so the chairman is accompanying Secretary 1, but I'm in charge of secretary 2, so the deg deg deg this."
30,anger,Foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka !! ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala !! Tuh sampai lupa khan gw #begoloe ,My photos are in an instagram there are still forgetting the instant password so it can't be opened! This must be the government's fault and instagram Why did you use all the passwords!
31,fear,Drama kmarin sore : seharian puasa trus pas lg mandi kaget bcz kedatangan tamu tak diundang pas bgt woi pas lagi adzan maghrib trus jd galau dong seharian itu dianggap sah puasa apa enggak-_-,"The afternoon drama: fasting all day and then in the shower, shocked by the arrival of uninvited guests at the last minute when adzan maghrib and then in the middle of the day it's considered legal to fast."
32,sadness,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tp sukses melupakan laper. [URL],"It's really hard to love you, break up with you, let alone."
33,anger,"4. pas uda dikirim kembali, si kurir telp ngeluh dan mager buat nganter ke alamat yg bener. malah minta ketemuan di titik yg dia tau itupun dia gamau susah (no puter balik, hrs searah sama arah kendaraan dia jalan)","Four years after they sent him back, the courier called and told him to bring him to the right address. He didn't even know it was him."
34,happy,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan.","In the end, we're going to get through all of this, everything that we used to imagine how difficult it was to go through, and in the end we can only learn, learn, and learn, pick all the lessons we can learn, prepare for the future."
35,love,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya ","Why is it that couples are often likened to ""home""? Because the comfort of being at home, you can be anything, you always come home to them."
36,fear,"Ya tau kalo rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata","Yeah, I know that hurt feelings are hard, but there are times when it's on the front lines. Don't be in public. The situation right now..."
37,happy,Ponakan kls 4 SD: lg demen nonton video tutorial masak + craft @ YouTube. gw kls 4 SD: udah baca novel2 Marga T. &amp Mira W. minjem punya sepupu,4th grade class: I'm watching a TV video tutoring + craft @ YouTube. I've read 4th grade: T Clan novels. &amp Mira W. Minjem has a cousin
38,happy,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.,"A few years later, the welfare of the mother's family increased, until her husband reached a high rank, not understanding the rank of the TNI, she lived well."
39,sadness,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu.","It's not unsupported or praying, it's just taking what you've already made, it's your choice and trying to keep it... here I am from afar supposed to be happy but to see you sad. My happiness fades... like the day you received your wedding invitation."
40,happy,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.,JNE/JNT as long as I'm using or sending a package/buy an oxhop from out of town until it's a maximum island three days until it's taken its car he can't find a confused address and can't get into a complex/gang even if it's on the other way home until it's delivered properly.
41,anger,"Gemes bgt sama orang yg masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!","It's hard for people who still view verbal sexual harassment as verbal or physical or whatever, it's just not right!"
42,fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik. ,What's the law of stad music?
43,anger,Apa Hebatnya Mardani? Menurut sy oeang ini Cuma besar mulut aja Faktanya sampai saat ini blm menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA nggak mungkin lah yaow,What's so great about Mardani?
44,sadness,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya. Lanjut yg tadi, baru aja setahun di kasih kenikmatan datang lgi ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent","By the way, the mother gave birth to the third child, but she didn't know what year it was."
45,happy,Z suka twitter soalny perempuan ji semua temanku dsni Biar mengomel sampe tablengker ndada bahayanya... bahas 'monsteration' jg bebas.. bahas nda puasa jg bebas~~~~~ Di wa mo update status streskan 'monsteration' kt harus pi dl blok semua cowo baru mengupdate ,Z likes to tweet about girls ji all my friends here so they can nag and hurt their chests... talk 'monsteration' talk about fasting too free~~~~
46,anger,Nggak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?,Don't you understand how difficult it is to support each other?
47,anger,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayanya gajadi deh mengingat kondisi yg gak fit bgt ini sebel. Rusak rencana sebelanga.. sebel akutu","Today's a holiday, plans to watch Jurassic World, but I don't think it's going to work out."
48,anger,"Nah ini, yg nunggu anak anteng dengan kesabaran seluas samudra trus bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan",Now this is the one who waits for the handsome boy with patience as wide as the ocean and his father is coming to make the child cry.
49,love,"Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu"".","I miss your whispers in my ears as you say, ""I hope you become a useful child to many and may you always love us your parents."""
50,anger,ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...,This is the result of school's origin... think the International Court of Justice has the authority to judge genocides as well...
51,anger,"Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo","You're the one who should be asked tea, why can't you assume you're a nut without skin?"
52,anger,"web permata krg profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?","The web is a professional krg gem. There's a cashback program 10rb token pln, when clicked info, entry to the data quota package program."
53,fear,"Nah.... Yg saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yg bahaya, soale masyarakat kita sedang sensitif dgn hal tersebut.","Well, I'm afraid that's gonna be in the politics of religion, that's what's dangerous about our society being sensitive about it."
54,sadness,"mau cerita kesiapa kalau udah kayak begini? hancur hidup ini pikirin dong gimana hati ku aku sedih, aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw","fontcolor="" # FFFF00""wanttotellyouwhenit'slikethis? ruinedthislife fontcolor="" # FFFF00""thinkabouthowmyheart fontcolor="" # FFFF00""I'mso sad,I'msoweptthatthisislikethe lyrics fontcolor="" # FFFF00""sweetsweetsweetsweet song"
55,sadness,"Setelah 20hari puasa dan saur gak pernah kesiangan, akhirnya di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam","After 20 days of fasting and never staying late, finally on the 21st day having a saur supeerrr dupeerr express, one minute before waking up yassalaam"
56,fear,"Jdi ada thr tapi dri APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dpt thr tahun ini. Kok bisa gitu ya. Buk mentri bilang aman. Yang lain ketakutan.","So there's an apbd, who has the power to be afraid, if underlined with kpk, and so they get it this year."
57,anger,tolong bantu saya [USERNAME] Kenapa ya lptop saya sudah 2 kali kok gabisa buka dokumen pasti not responding.pdhal sudah pernah dibawa ke hp center smg . Apakah lptop saya termasuk produk gagal atau gimana.beli 11 maret 2018 . Dan kalo gini trs kan jd jgkel sndri.,Please help me (USERNAME) Why is my lptop not open the document twice? definitely not responding.pdhal has already been taken to the center phone already.
58,anger,ini udah masuk ke proses penjualan... Tapi pas dibuka detail ko malah gini? Apakah produk sedang diproses atau diproses tgl 11?,Is the product being processed or processed on 11th?
59,anger,[USERNAME] Semen indonesia belum nambang loh di Rembang...malah ada perusahaan yg lokasi hanya 200 meter dr areal tambang semen tidak pernah diprotes dan ini sudah bertahun2 lamanya...knp kok pas semen diprotes?,[USERNAME] The Indonesian cement hasn't been mined yet in the Rembang... There's a company only 200 meters from the cement mine area that hasn't been protested and it's been tested for years...
60,anger,SIAPA YG BILANG PUNYA ANAK MENYENANGKAN TEROS *sodorin anak yg tantrum karna ngantuk tp gak mau bobo* *istigfar kenceng2*,WHO SAID TO HAVE A CHILDREN GLASSING THE TEROS *Sodorin SNOWN BUT DON'T WANT TO BOO*
61,sadness,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi","I feel like I know something and I'm not supposed to talk to anyone. Well, neglect is the opposite, so it changes the cycle and the timeline that it's supposed to happen."
62,anger,"Punya sahabat cowo 2 nih, tapi sering nya ga konsisten terus sering bohong lagi. Kenapa sih? Udah berkali2 dimarahin karna sering bohong tapi ga mempan2 juga. Apa kodratnya suka bohong apa gimana?","He's got a best friend with two friends, but he's always so inconsistent with lying all the time."
63,happy,"Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong cerrier pake sepatu trus pergi, ketemu alam dan berdamai dengannya,","If you know that there's a long holiday - other than the width - it's like you want to pick up the cerrier with your shoes and go, meet nature and make peace with her,"
64,anger,Siapa bilang kafir gabung sama khilafah bro jgn alihkan isu anda itu siapa penyelundup dari kaum bumidatar se-olah2 pro Pancasila [USERNAME] [URL],Who's to say that the infidels joined together misaligned bro don't distract your issue who's the smuggler of the Earthdatar as if it were a Pancasila pro [USERNAME] [URL]
65,happy,"btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]","fontcolor="" # FFFF00""bythepraysoftheparent'sfare fontcolor="" # FFFF00""yes... fontcolor="" # FFFF00""whenit'sadopportunity fontcolor="" # FFFF00""thenfindyouhome. fontcolor="" # FFFF00""fromday fontcolor="" # FFFF00""memsenfromthe banymas fontcolor="" # FFFF00""Wasthisthemaradan [URL]"
66,anger,Salah satu contoh tidak tau berterima kasih... pdhl datang pas sdh terkenal pi wannaone... ckckckc yg dl berjuang siapa? Jawab sendiri ma ko deh Wanna One's Swing Entertainment warns legal action against fansite masters [URL] via [USERNAME],One of the ungrateful examples... of being here when the famous pi wannaone... the ckckc who was fighting who?
67,fear,"Dri pgi ngerasain sakit perut kirain mau haid, udh beli kiranti pas di cek malah kaga ada,  plis atulah haid skrg aja, biar bisa ikut solat ied ",I'm going to get a stomach ache. I'm going to take a check. I'm going to pay for it.
68,sadness, Turut berduka cita buat kawan a cak. Semoga. Keluarga yg di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani,I'm sorry for your friend. Hopefully. The family left behind a. Can be patient &amp; meridoi alm.. #sajete #wani
69,anger,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,"[USERNAME] Network's down, right?"
70,anger," lo belum lahir atau belom sekolah bong saya rasa.... Atau bapak lo pki bong Bandit , rampok atau sejenis yg menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]","You haven't been born or a bong school yet I guess... or are you Mr. bong Bandit, robbed or something that's been bothering people? &lt;i&gt;Mr. Soeharto said that Pki Bandits Rampok Bong bong bong bong bong bong-gunakkk&lt;/i&gt; &lt;i&gt;URL&lt;/i&gt;"
71,anger,bagi yang dulunya usaha terus skrg jd karyawan macam gue pasti bawaannye pgn usaha lagi . ga ada yang ngatur .flexible. lbh banyak duit. faaak,"For those of you who have worked so hard now, I must have a lot to do. No one controls the .flexible. There's more money."
72,sadness,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. Moga merapi lekas reda :) moga ngga ada bom lagi.,So there's an international event and some countries haven't confirmed that there's no fear of terror either.
73,anger,Baiknya Gubernur Anies Baswedan dimosi tdk percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL],Both Governor Anies Baswedan get emotional and let him slide! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL] [URL]
74,anger,Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus wkt terjadi pelemahan saja... dg menyalahkan semuanya kpd Presiden [USERNAME] ....  [URL],The opposition doesn't make a scene in the media thermsk medsos when the loud season is special. ... [URL]
75,sadness,"Lagi puasa tp dri pagi udah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini knpa siang2 tetangga sbelah goreng telur yah, kan baunya smpe idung gw hikss piye sih mbak?","I'm fasting, but I'm on my way here in the morning with the address of, uh, filming kalee."
76,anger,[USERNAME] Heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun anda ygdisebarkan lewat fb .... ini bukan saja nol besar tp skaligus nonjok muka junjungan sdr ... terima kasih,[USERNAME] Heee I saw the first plastic tree yesterday from your account spread over the fb... It's not just a big zero but it's a straight shot of face sdr... thank you.
77,anger,"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. Trs pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]","[USERNAME] What's this? The courier sent it wrong, even to someone's address."
78,fear,Ini pas banget! Gue habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule Ok dan niat kirim uang sekitar $100jt tp pake pos. Bilang sama hadiah lain. Tp gak masuk akal kirim yang sebanyak itu pake pos [URL],I've read a book there's a bule PDKT saying find the same house.
79,anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..,[USERNAME] [USERNAME] [USERNAME] The problem is money for consumption.
80,sadness,Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah krn biasanya ga banyak yg solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!,The intention of going to her prayer mosque on the second floor is to say something 'cause there's usually not much here.
81,happy,"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  ","It's most exciting to talk to creative people, ready to be surprised by their ideas that you may never have thought of: ""Oh, yes, why did I just think?"""
82,anger,"Miris : Menciptakan 'karya' dengan susah payah yang menguras pikiran,tenaga,waktu dan materi,... KALAH oleh oknum yg menjiplak dan/atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi. Gimana menurut [USERNAME] ??","Miris: create work with difficulty that drains people's mind, power, time and matter, ...continued by people who copy and/or simply accept the complete use of other people's work with gimmics and sensations. What do you think of [USERNAME]?"
83,anger,"Sebelah mana stereotyping-nya dari pernyataan saya? Coba ditunjukkan, siapa tahu saya salah bicara. Bagus dong kalau banyak yang mengecam. Semakin banyak makin terdengar suara untuk kebenaran, semakin bagus. Kalau benar tapi kalah keras sama yang salah, itu yang harus diatasi. [URL]","Which side is the stereotyping of my statement? show me, who knows if I'm talking wrong."
84,anger,Tipikal cowo menye menye bgt ni. Paling ngga bisa diajak argumen. Menyalahkan orang dan mengeluh terus ni manusia maha sempurna. Pen ngatain goblok tapi puasa.,"It's a typical guy who gives this much credit, the least he can do is blame people and complain about how perfect a man is."
85,happy,Tiada henti 2ny q mengucap syukut alhmdllh.... Skrg aku bsa.... Uang jadi panitia kmrn alhmdllh trmkah kau bri brlmpah.... Mski tak sbrpa inysllh lma2 mmbukit amn [URL],I can't stop... the money is on me.
86,anger,"Kamu mau ngomong apa.Kayaknya kamu dendam kpd Anies.Pernah disakiti olh gub Anies?Salah apa Anies kpdmu?.Knp dendam?Kamu klmpok DKI42% yg tdk puny gub,Anies bukan [URL] pada tempatnya kamu maki2 Anies.Salah. [URL]",What do you want to say? You've got a grudge against Anies. Ever hurt anolh gub Anies? What's wrong Anies to you?
87,sadness,Ketika di group keluarga udah pada ngomongin mudik. Duuh pengen mudik. Tapi apa daya suami libur cuma 4 hari dr hari H lebaran. Itu juga kalo g di telpon disuruh masuk. 2 tahun lalu malah habis sholat eid lgsg kerja ,"When you're in the family group you're talking about, you're late, but if your husband has four days off, it's four days away."
88,sadness,Orang yg pernah kalah dalam pertarungan POLITIK sulit untuk bisa disembuhkan Karena mereka tdk bs meraih impian dan sdh kehilangan banyak Harta.,People who've lost a POLlIST fight are hard to cure because they can't achieve dreams and have lost a lot of property.
89,sadness,"Nggada sinyal di rumah, membuatku banyak berfikir, berfikir doank tapi, pikiran ke mana mana, random.. Tapi pasti ada dia :(","There's no signal at home, it makes me think too much, but, mind where I'm going, random, but there's got to be one."
90,fear,"Ada khabar kasus tuduhan chat mesum terhadap Imam Besar Habib Rizieq sdh dihentikan, mohon bantu doa semoga benar adanya. Semoga kesucian Ramadhan membuka mata hati bapak2 kita yg menyidik.amin","There's been a case of obscene accusations against High Priest Rizieq has been stopped, please help pray for the truth."
91,fear,"Jangan ngecengin gua lagi ya gaes [USERNAME] [USERNAME] [USERNAME], orang ini udah ada blog-nya juga.. ..ya walaupun nulisnya nggak jam 2 dinihari sih.","Don't hold my hand again... (USERNAME) [USERNAME] [USERNAME]...this guy already has his blog, too...yes even though he doesn't write at 2 in the morning."
92,anger,Cari orang2 yg selalu menyudutkan Ansor. Sabar itu bagus tp kalau terus menerus difitnah disalahkan jangan tinggal diam Saatnya,"It's good to find people who are always cornered by Ansor, but if it's constantly slandered, don't stay silent, it's time."
93,love,"halohaa selamat siang Denise Udah pulang sekolah belum nih ? Jangan lupa makan siang ya, oh iya gimana udah sehatan kan kamu ? Kalo emang masih kurang sehat ya banyakin istirahat aja sekarang"" Kk selalu nunggu kok tweet"" dari k","Don't forget your lunch, how are you feeling?"
